City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zhosaly,45.4878,64.0781,23.11,33,5,5.22,KZ,1724003410
1,tomatlan,19.9333,-105.25,32.53,58,87,2.76,MX,1724003411
2,la passe,45.5549,-0.8967,19.7,60,1,6.21,FR,1724003413
3,prado,-17.3411,-39.2208,25.38,68,0,3.03,BR,1724003414
4,paka,4.6374,103.4368,24.96,94,44,0.0,MY,1724003415
5,port saint john's,-31.6229,29.5448,17.48,80,6,0.76,ZA,1724003416
6,adamstown,-25.066,-130.1015,17.89,62,100,6.45,PN,1724003417
7,newman,37.3138,-121.0208,23.36,58,0,1.79,US,1724003418
8,yellowknife,62.456,-114.3525,18.56,79,20,4.12,CA,1724003420
9,sinan,34.8262,126.1086,25.78,81,10,3.96,KR,1724003421
10,mitsamiouli,-11.3847,43.2844,25.36,76,21,6.3,KM,1724003422
11,vorgashor,67.5833,63.95,8.1,81,85,3.4,RU,1724003423
12,edinburgh of the seven seas,-37.0676,-12.3116,9.81,61,69,13.0,SH,1724003424
13,porto torres,40.835,8.3972,26.1,72,65,6.86,IT,1724003425
14,vilyuchinsk,52.9306,158.4028,10.15,79,100,3.69,RU,1724003427
15,waitangi,-43.9535,-176.5597,7.68,98,100,6.6,NZ,1724003428
16,bredasdorp,-34.5322,20.0403,10.9,90,1,1.97,ZA,1724003429
17,susuman,62.7833,148.1667,5.86,85,78,0.8,RU,1724003430
18,palmer,42.1584,-72.3287,20.73,94,100,2.06,US,1724003431
19,hongwon,40.0253,127.9558,24.21,92,85,1.2,KP,1724003432
20,siwa oasis,29.2041,25.5195,35.84,20,0,4.31,EG,1724003434
21,saldanha,-33.0117,17.9442,14.03,88,4,2.04,ZA,1724003436
22,zimovniki,47.1483,42.4633,22.74,22,0,3.23,RU,1724003437
23,palestina,31.9216,35.2033,27.16,51,0,1.64,PS,1724003438
24,turpan,42.9333,89.1667,37.69,19,0,3.48,CN,1724003440
25,vorkuta,67.5,64.0,8.56,79,83,3.27,RU,1724003441
26,papatowai,-46.5619,169.4708,4.86,85,100,9.83,NZ,1724003442
27,lake wales,27.9014,-81.5859,33.89,50,40,2.06,US,1724003443
28,talnakh,69.4865,88.3972,14.58,74,100,0.6,RU,1724003444
29,klyuchi,52.2667,79.1667,17.88,53,74,3.49,RU,1724003447
30,carauari,-4.8828,-66.8958,37.63,29,16,1.91,BR,1724003448
31,sos'va,59.1766,61.8558,11.17,95,23,1.65,RU,1724003449
32,alice springs,-23.7,133.8833,18.75,30,1,4.12,AU,1724003450
33,isafjordur,66.0755,-23.124,7.02,76,75,5.14,IS,1724003451
34,port-aux-francais,-49.35,70.2167,2.74,77,30,12.11,TF,1724003452
35,olonkinbyen,70.9221,-8.7187,5.88,90,100,3.4,SJ,1724003454
36,grytviken,-54.2811,-36.5092,-1.31,68,89,5.49,GS,1724003455
37,kodinsk,58.6881,99.1844,13.03,98,96,1.08,RU,1724003456
38,longyearbyen,78.2186,15.6401,10.91,82,40,0.0,SJ,1724003457
39,ribeira grande,38.5167,-28.7,27.22,74,20,3.09,PT,1724003458
40,puerto natales,-51.7236,-72.4875,7.25,61,75,7.2,CL,1724003459
41,verkhovazh'ye,60.7472,42.0465,14.86,69,35,1.59,RU,1724003460
42,bethel,41.3712,-73.414,22.23,100,100,5.14,US,1724003338
43,ubauro,28.1652,69.7289,30.88,70,100,3.6,PK,1724003463
44,bilibino,68.0546,166.4372,4.07,97,100,2.16,RU,1724003464
45,mount isa,-20.7333,139.5,6.87,49,0,0.0,AU,1724003465
46,broken hill,-31.95,141.4333,10.23,70,1,3.83,AU,1724003466
47,puerto ayora,-0.7393,-90.3518,21.42,85,82,3.13,EC,1724003467
48,hawaiian paradise park,19.5933,-154.9731,23.83,99,100,2.06,US,1724003469
49,albany,42.6001,-73.9662,22.54,84,94,6.1,US,1724003192
50,mananjary,-21.2167,48.3333,20.5,87,74,4.01,MG,1724003471
51,port elizabeth,-33.918,25.5701,16.84,80,20,1.03,ZA,1724003269
52,shevchenko,48.5,35.0,26.93,23,43,2.0,UA,1724003475
53,general acha,-37.377,-64.6043,12.72,51,94,8.38,AR,1724003464
54,alofi,-19.0595,-169.9187,21.94,88,40,4.12,NU,1724003477
55,college,64.8569,-147.8028,19.33,75,75,4.12,US,1724003478
56,stanley,54.868,-1.6985,16.82,60,20,7.2,GB,1724003479
57,shahpur,16.7,76.8333,28.7,74,98,1.63,IN,1724003480
58,georgetown,5.4112,100.3354,26.96,100,20,1.54,MY,1724003481
59,chonchi,-42.6128,-73.8092,8.39,59,27,3.47,CL,1724003483
60,fortuna,40.5982,-124.1573,20.19,74,20,2.06,US,1724003484
61,lubango,-14.9172,13.4925,22.92,16,0,2.57,AO,1724003485
62,lompoc,34.6391,-120.4579,25.32,76,16,2.24,US,1724003398
63,ulladulla,-35.35,150.4667,9.46,87,59,2.63,AU,1724003487
64,castillos,-34.1667,-53.8333,13.56,95,100,4.56,UY,1724003488
65,bac lieu,9.285,105.7244,27.97,78,92,3.03,VN,1724003490
66,alakurtti,66.9672,30.3491,14.67,64,64,1.15,RU,1724003491
67,iwaki,37.05,140.8833,24.64,92,11,0.76,JP,1724003492
68,arkalyk,50.2486,66.9114,17.23,57,87,4.17,KZ,1724003493
69,potsdam,52.3989,13.0657,21.11,100,100,4.23,DE,1724003171
70,balabac,7.9868,117.0645,27.78,78,39,3.49,PH,1724003495
71,wajir,1.7471,40.0573,29.99,33,73,10.45,KE,1724003497
72,qaqortoq,60.7167,-46.0333,6.04,72,1,2.48,GL,1724003498
